"","Data","Cluster","Feature","MedGain","MedCover","MedFreq"
"1","Tempus","cluster1","POSTN_X_C1QL1",0.674039917002849,0.468832966744025,0.375
"2","Tempus","cluster1","ACSL3_X_TF",0.0909541302260971,0.13920379718893,0.1875
"3","Tempus","cluster1","CD46_X_PDGFRA",0.0778244046176106,0.172214191810184,0.1875
"4","Tempus","cluster1","VAV3_X_PLPPR1",0.0701376481083903,0.128116159853882,0.121323529411765
"5","Tempus","cluster1","DCX_X_LGR4",0.0531578772570261,0.0919890781114705,0.117647058823529
"6","Tempus","cluster1","EGFR_X_PMP2",0.0300973895986684,0.0602958413726851,0.0820433436532508
"7","Tempus","cluster1","TCEAL2_X_MYO5C",0.0163408720608139,0.0404295164180497,0.0588235294117647
"8","Tempus","cluster2","HILPDA_X_BANF1",0.83606748026263,0.84140124043807,0.8
"9","Tempus","cluster2","NDRG1_X_APLP2",0.225705105106108,0.22384930450727,0.25
"10","Tempus","cluster3","RBP1_X_BMP2",0.896606166643938,0.818088438178934,0.727272727272727
"11","Tempus","cluster3","NNMT_X_SH3GL2",0.179209725708381,0.226864629225458,0.272727272727273
"12","Tempus","cluster3","EMP3_X_FERMT1",0.108244088326829,0.144399837621785,0.181818181818182
"13","Tempus","cluster3","EPHB1_X_IGFBP2",0.103393833356062,0.136387137455818,0.2
"14","Tempus","cluster3","PDPN_X_DLL3",0.0727919063759588,0.121627344348227,0.181818181818182
"15","Tempus","cluster3","CHI3L1_X_LRIG1",0.0342920236090187,0.055933695655823,0.0909090909090909
"16","Tempus","cluster3","TMEM100_X_DYNLT3",0.0288668103086211,0.0546434471369709,0.0909090909090909
"17","Tempus","cluster4","P4HA1_X_LMO3",0.530264236516487,0.564672618150809,0.571428571428571
"18","Tempus","cluster4","MAOB_X_VEGFA",0.475219875767873,0.443646438212342,0.428571428571429
"19","Tempus","cluster4","CDKN2A_X_MYC",0.35168711067043,0.417035940367629,0.4
"20","Tempus","cluster5","GULP1_X_CA10",0.428180877150332,0.435812648224581,0.375
"21","Tempus","cluster5","DCX_X_LMO3",0.260240954193901,0.271035188187722,0.257575757575758
"22","Tempus","cluster5","ECM2_X_GPR17",0.223624972587928,0.214042038800181,0.181818181818182
"23","Tempus","cluster5","MYO5C_X_UGT8",0.183642984666923,0.164292690303841,0.194444444444444
"24","Tempus","cluster5","SLC7A11_X_NKX2.2",0.157762289167309,0.190961731679853,0.174242424242424
"25","Tempus","cluster5","PPIC_X_SOX10",0.12539870919955,0.200548304581038,0.194444444444444
"26","Tempus","cluster5","SOX11_X_SSPN",0.0954253713525251,0.120460874495773,0.166666666666667
"27","Tempus","cluster5","EGFR_X_APOD",0.059020133604175,0.0663408248056252,0.101010101010101
"28","Tempus","cluster5","FABP7_X_METTL7A",0.0434947305097676,0.0400422463784621,0.0714285714285714
